,No,Repositories,Url
0,0,computer-graphics-lab,https://github.com//tishat-ahasan/computer-graphics-lab
1,1,tmp-folder,https://github.com//tishat-ahasan/tmp-folder
2,2,Machine-Learning-Assignments,https://github.com//tishat-ahasan/Machine-Learning-Assignments
3,3,Numeric-Lab-Codes,https://github.com//tishat-ahasan/Numeric-Lab-Codes
4,4,OS161-Investor-Producer-Synchronization,https://github.com//tishat-ahasan/OS161-Investor-Producer-Synchronization
5,5,djangoPractice,https://github.com//tishat-ahasan/djangoPractice
6,6,10_22_microcontroller_project,https://github.com//tishat-ahasan/10_22_microcontroller_project
7,7,NetworkingAssignment,https://github.com//tishat-ahasan/NetworkingAssignment
8,8,python_Project,https://github.com//tishat-ahasan/python_Project
9,9,TodoList,https://github.com//tishat-ahasan/TodoList
10,10,"OS161-Schedulers


          Forked from ednunezg/OS161-Schedulers",https://github.com//ednunezg/OS161-Schedulers
